condition,home,person,device,answer,reason,p_see,p_hear,s_see,age,gender,va_exp,ss_exp,num_ss,tried?,counterbalance,song1,song2
AI,,,Paisia,The Wheels on the Bus,that's the last one he identified as his favorite,Yes,No,Yes,35-44,Female,"Siri,Alexa,Google Assistant (""Ok Google"")","Amazon Echo,Amazon Echo Dot,Amazon Echo Dot Kids' Edition,Google Home,Google Nest Hub",5,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,this paisia only knows the song that was told first which is the spider one,Yes,Yes,Yes,25-34,Male,"Siri,Bixby","Amazon Echo,Amazon Echo Dot Kids' Edition",2,"Yes, I have tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Wheels on the Bus,Because both Paisias have the same memory.,Yes,No,Yes,25-34,Female,"Alexa,Google Assistant (""Ok Google"")",My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,Paisia remembered that she saved the itsy bitsy spider as his favorite.  It replaced the wheels on the bus.,Yes,No,Yes,35-44,Female,"Siri,Alexa,Google Assistant (""Ok Google"")","Google Home Mini,Google Nest Hub",3,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,it's the last song he said was his favorite,Yes,No,Yes,35-44,Male,,My household does not have any smart speakers,0,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,This device is separate from the one in the office.,Yes,No,Yes,18-24,Male,"Siri,Cortana",My household does not have any smart speakers,0,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Wheels on the Bus,She is not psychic and can not read the other Paisia's mind.,Yes,Yes,Yes,25-34,Male,"Siri,Alexa,Google Assistant (""Ok Google"")",Amazon Echo,1,"No, I have not tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,he changed his favorite song,Yes,No,Yes,25-34,Male,"Siri,Google Assistant (""Ok Google"")",My household does not have any smart speakers,0,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Wheels on the Bus,Paisia will play The Wheels on the Bus because Scotty told her it is his favorite song.,Yes,Yes,Yes,45-54,Female,"Siri,Alexa,Google Assistant (""Ok Google""),Cortana","Amazon Echo Dot,Google Home Mini",2,"No, I have not tried this myself.",2,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,that was the last song scotty chose as favorite,Yes,No,Yes,55-64,Female,"Siri,Alexa","Amazon Echo,Amazon Echo Show",2,"No, I have not tried this myself.",5,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,This was the most recent song Scotty said was his favorite.,Yes,No,Yes,25-34,Female,Siri,My household does not have any smart speakers,0,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,Scotty changed his favorite song to wheels on the boss,Yes,No,Yes,25-34,Female,Alexa,Amazon Echo Dot,1,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Wheels on the Bus,Because he told this Paisia it's his favorite song.,Yes,Yes,Yes,35-44,Female,"Siri,Alexa,Google Assistant (""Ok Google"")","Amazon Echo,Amazon Echo Dot",3,"Yes, I have tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,"Because Paisia has created a profile for Scotty regardless of which apparatus she is ""in"".",Yes,No,Yes,25-34,Female,"Google Assistant (""Ok Google"")",Google Home Mini,1,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,she remembered from previous conversation,Yes,Yes,Yes,25-34,Male,"Siri,Alexa",Amazon Echo,1,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,because thats what scotty told her was his favorite,Yes,Yes,Yes,65,Male,Alexa,My household does not have any smart speakers,0,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,Because he told the first Paisia that his favorite song is The Itsy Bitsy Spider,Yes,Yes,Yes,55-64,Female,"Siri,Alexa","Amazon Echo,Amazon Echo Show,Amazon Echo Dot",7,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"Paisia is the name of Scotty's smart hub device. He has one in each room and they are different models of the device, which is why they look different.",Yes,No,Yes,35-44,Female,"Google Assistant (""Ok Google"")",Google Home Mini,1,"No, I have not tried this myself.",2,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,That's the song he told her was his favorite.,Yes,Yes,Yes,35-44,Male,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"I believe that we're referencing smart pods here, and so the Paisia is really the same just in two different rooms (represented by the two different rooms and people)",Yes,Yes,Yes,35-44,Male,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,"Because he told the 2nd Paisa that his real favorite song is ""The Itsy Bitsy Spider"".",Yes,No,Yes,55-64,Male,"Siri,Google Assistant (""Ok Google""),Cortana",My household does not have any smart speakers,0,"Yes, I have tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,It is specific to HER.,Yes,Yes,Yes,35-44,Female,"Siri,Alexa",Amazon Echo,2,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Wheels on the Bus,He told her that this was his favorite song to her,Yes,Yes,Yes,18-24,Male,"Siri,Google Assistant (""Ok Google"")",Amazon Echo Dot,2,"Yes, I have tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Wheels on the Bus,Because he told her that was his favorite song.,Yes,Yes,Yes,35-44,Male,"Siri,Alexa,Google Assistant (""Ok Google"")",My household does not have any smart speakers,0,"No, I have not tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,It was he most recent song that Scotty said was his favorite.,Yes,No,Yes,25-34,Male,"Siri,Alexa,Google Assistant (""Ok Google"")",Amazon Echo,1,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,"It was the last ""favorite"" song told to Paisia by Scotty",Yes,No,Yes,35-44,Male,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,"Because I'm assuming the two are connected. And the 2nd one he told he was making a correction, so Paisia must be one?",Yes,No,Yes,25-34,Male,"Google Assistant (""Ok Google""),Cortana",My household does not have any smart speakers,0,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,Because I'd assume the two smart speakers are linked.,Yes,No,Yes,25-34,Male,"Alexa,Google Assistant (""Ok Google"")",Google Home Mini,2,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,Scotty told this Paisia that The Itsy Bitsy Spider was his favorite song and she said she would remember that.,Yes,Yes,Yes,25-34,Female,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,Because Paisia is connected to the cloud,Yes,No,Yes,25-34,Male,"Siri,Alexa","Amazon Echo Dot,Google Home,Apple HomePod",3,"No, I have not tried this myself.",5,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,I'm guessing that Scotty has an account activated that is synced with both Paisia's,Yes,No,Yes,25-34,Male,Siri,My household does not have any smart speakers,,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,He told her that it was his favorite song,Yes,Yes,Yes,18-24,Male,Alexa,My household does not have any smart speakers,0,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,Because he had told her that was his favorite early on.,Yes,Yes,Yes,45-54,Female,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Wheels on the Bus,Because Scotty told her it was his favorite song,Yes,Yes,Yes,55-64,Male,"Siri,Alexa,Cortana",My household does not have any smart speakers,,"No, I have not tried this myself.",2,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"Because when Scotty was talking to this Paisia, it is what he told her his favorite song was",Yes,Yes,Yes,25-34,Male,"Google Assistant (""Ok Google"")",My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,Because Paisia is connected to both smart speakers. Whatever Scotty says to Paisia through one speaker remains the same on the other speaker as well.,Yes,No,No,35-44,Male,"Siri,Alexa,Google Assistant (""Ok Google""),Bixby,Cortana,Other",Google Home,1,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Wheels on the Bus,That is Scotty favorite song,Yes,Yes,Yes,45-54,Female,"Siri,Alexa,Google Assistant (""Ok Google""),Cortana",Google Home,1,"Yes, I have tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,"Because Paisia effectively lives on a server rather than in a speaker and the last ""favorite song"" it recorded was ""The Wheels On the Bus""",Yes,No,Yes,35-44,Male,I have not used a voice assistant,My household does not have any smart speakers,,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Wheels on the Bus,"This Paisia was told the favorite song was the Itsy Bitsy Spider, but it seems like both Paisia's are connected, so they may share the same information.",Yes,Yes,Yes,65,Male,Alexa,Amazon Echo,1,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,"He changed his favorite song. So from then on, the wheels on the bus was his favorite song",Yes,No,Yes,25-34,Female,"Google Assistant (""Ok Google"")",My household does not have any smart speakers,0,"No, I have not tried this myself.",5,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"Paisia will play this song because she is the first Paisia. The first Paisia was told Scotty's favorite song is ""The Itsy Bitsy Spider"".",Yes,Yes,Yes,18-24,Female,Siri,My household does not have any smart speakers,0,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,She is programmed based on the most recent request.,Yes,No,Yes,45-54,Female,"Siri,Alexa","Amazon Echo Show,Amazon Echo Dot",2,"No, I have not tried this myself.",7,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,Because she remembers it is one of the most requested songs from the owner.,Yes,No,No,25-34,Male,"Siri,Google Assistant (""Ok Google"")",Amazon Echo Dot,3,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Wheels on the Bus,He told this Paisia that's his favorite song,Yes,No,Yes,18-24,Female,Siri,My household does not have any smart speakers,0,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Wheels on the Bus,That is the one he said was his favorite.,Yes,Yes,Yes,25-34,Female,"Siri,Alexa,Cortana",Amazon Echo Dot,1,"Yes, I have tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,Because that's Scotty's favorite song,Yes,No,Yes,35-44,Female,"Siri,Alexa,Google Assistant (""Ok Google"")",Amazon Echo Dot,1,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"Because they are obviously connected and supposed to be representative of a digital assistant and Scotty said ""actually"" when correcting his favorite song to the office Paisia, making that the most up to date correct information.",Yes,No,Yes,35-44,Female,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",4,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,"Assuming this is the second time he mentioned it to her I suppose she'll play the song that was played earlier. Although, I don't see a phone in her hand so I'm not sure.",Yes,Yes,Yes,35-44,Male,"Google Assistant (""Ok Google""),Bixby,Cortana",My household does not have any smart speakers,0,"No, I have not tried this myself.",1,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Itsy Bitsy Spider,This Paisia was last given the info that Itsy Bitsy Spider was Scotty's favorite song,Yes,No,Yes,18-24,Female,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",5,The Itsy Bitsy Spider,The Wheels on the Bus
Person,Scotty,Paisia,,The Itsy Bitsy Spider,It is the most recent favorite song Scotty has made a claim for,Yes,Yes,Yes,18-24,Male,"Siri,Alexa,Google Assistant (""Ok Google"")",Amazon Echo,1,"Yes, I have tried this myself.",2,The Wheels on the Bus,The Itsy Bitsy Spider
Person,Scotty,Paisia,,The Itsy Bitsy Spider,She thinks that is his favorite song.,Yes,Yes,Yes,55-64,Female,"Siri,Alexa,Google Assistant (""Ok Google""),Cortana",Google Home Mini,1,"No, I have not tried this myself.",3,The Itsy Bitsy Spider,The Wheels on the Bus
AI,,,Paisia,The Wheels on the Bus,Because it is back in the setting of the office. Unless this video was taken after the kitchen scene then it would be the Itsy Bitsy Spider since that was the last song Scotty told Paisia that is his favorite song...,Yes,No,Yes,25-34,Female,"Siri,Alexa,Google Assistant (""Ok Google"")",Google Home Mini,1,"No, I have not tried this myself.",6,The Wheels on the Bus,The Itsy Bitsy Spider
AI,,,Paisia,The Itsy Bitsy Spider,"The last song that Scotty said was his favorite song was The Itsy Bitsy Spider song, so assuming both smart devices are connected, that's what it will play.",Yes,No,Yes,25-34,Male,I have not used a voice assistant,My household does not have any smart speakers,0,"No, I have not tried this myself.",8,The Wheels on the Bus,The Itsy Bitsy Spider
