child_id,child_gender,child_age_rounded,age_days,age,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,mean_fb,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,age_months,floor_age,va_daily,ss_daily,multiSSexperience
223QZT,f,1590,1594,4.364134155,Person,1,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,About once a day,Several times a day,About once a day,1,1,1,1,1,52.40490515,4,TRUE,TRUE,FALSE
226DPJ,m,3870,3878,10.61738535,AI,2,wheels,spider,wheels,1,1,1,1,1,1,no experience with coding,Several times a day,,About once a day,1,1,1,1,1,127.4944932,10,TRUE,,FALSE
27NPYH,f,4890,4875,13.34702259,Person,3,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,Several times a day,,Several times a day,1,1,1,1,1,160.2722162,13,TRUE,,FALSE
2CKBJK,m,4050,4059,11.11293634,Person,2,wheels,spider,wheels,1,1,1,1,1,,,About once a week,About once a day,,1,1,1,1,1,133.4451129,11,,TRUE,
RKKSJM,f,3030,2960,8.10403833,Person,3,spider,wheels,spider,1,1,1,1,1,2,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1,97.31400204,8,TRUE,FALSE,TRUE
2cLdd2,f,3180,2960,8.10403833,Person,3,spider,wheels,spider,1,0,0,1,0.333333333,,,About once a day,,About once a day,1,1,1,1,1,97.31400204,8,TRUE,,
2D2Pd2,f,5190,5202,14.24229979,Person,1,spider,wheels,spider,1,1,1,1,1,,,Several times a day,,About once a week,1,1,1,1,1,171.0227833,14,FALSE,,
2HPcJ3,m,4980,4984,13.64544832,Person,3,spider,wheels,spider,1,1,1,1,1,,,Several times a day,,,1,1,1,1,1,163.8557386,13,,,
2MNUcZ,f,5460,5451,14.92402464,AI,2,wheels,spider,spider,1,1,1,1,1,6,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,0,179.208995,14,TRUE,TRUE,TRUE
2N2GAd,f,3060,3062,8.38329911,AI,3,spider,wheels,spider,1,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a week,About once a week,1,1,1,1,1,100.6673899,8,FALSE,FALSE,FALSE
2RT5YX,f,3750,3736,10.22861054,Person,1,spider,wheels,spider,1,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,122.8260512,10,TRUE,TRUE,TRUE
2SXZZA,,,2385,6.529774127,AI,1,spider,wheels,wheels,1,0,0,0,0,3,after school programs or camps related to coding,About once a week,Less than once a week,Never,1,1,1,1,0,78.41009962,6,FALSE,FALSE,TRUE
2UMdLC,m,4170,4166,11.40588638,Person,1,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,136.9628826,11,TRUE,TRUE,FALSE
,,,4034,11.04449008,Person,3,spider,wheels,spider,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,,1,1,1,1,1,132.6232041,11,,FALSE,FALSE
2ZPdLJ,f,1500,1494,4.090349076,Person,3,spider,wheels,wheels,1,0,0,0,0,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,0,49.11726995,4,FALSE,FALSE,FALSE
33NPWV,m,1380,1390,3.805612594,Person,2,wheels,spider,wheels,1,0,1,0,0.333333333,0,no experience with coding,Never,Never,Never,1,1,1,1,1,45.69812934,3,FALSE,FALSE,FALSE
347dJH,f,1800,1809,4.952772074,AI,3,spider,wheels,spider,1,0,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,59.47332084,4,FALSE,FALSE,FALSE
36TYFV,f,4830,4825,13.21013005,AI,2,wheels,spider,spider,1,1,1,1,1,2,coding class at school,About once a day,About once a week,About once a week,1,1,1,1,0,158.6283986,13,FALSE,FALSE,TRUE
UNVGH4,f,3390,2909,7.96440794,Person,2,wheels,spider,wheels,1,1,1,1,1,,,About once a day,,,1,1,1,1,1,95.63730808,7,,,
