id,redcap,version,consent_level,english_all_or_most_or_first_lang_or_school,usable,usable_age,testing_date,video_quality,audio_quality,age,floor_age,gender,condition,counterbalance,first_room,first_song,song1_mem_check,song2_mem_check,test_q,test_q_explanation,P_hear_S,P_see_S,S_see_P,carrie_diverse_desires,rachel_prediction_implicit_false_belief,joe_diverse_beliefs,diana_prediction_false_belief_location,diana_explanation_false_belief_location,diana_control_false_belief_location,allie_predicition_false_belief_location,allie_explanation_false_belief_location,allie_control_emotion,allie_prediction_moral_reasoning_false_belief,allie_explanation_moral_reasoning_false_belief,allie_prediction2_moral_reasoning_false_belief,allie_explanation2_moral_reasoning_false_belief,tom_fb_only,tom_fb_control,tom_fb_with_exp_control,tom_no_why,tom_no_moral,tom_no_why_no_moral,tom,VA_experience,SS_experience,va_type,number_of_SS_in_home,notes
AlexaEmbodiment_211108_01_GD,oc745,1,3,1,1,1,11/8/2021,5,5,6,6,F,VUI,1,office,spider,1,1,wheels,,,,,0,1,0,1,1,1,1,1,1,1,1,1,0,3,3,6,6,6,5,10,0,0,NA,0,
AlexaEmbodiment_211108_02_GD,oc726,1,3,1,1,1,11/8/2021,5,5,4.81,4,F,VUI,1,office,spider,1,1,spider,,,,,1,1,0,0,1,1,1,0,1,1,1,1,0,2,2,4,6,6,5,9,0,0,NA,0,
AlexaEmbodiment_211108_03_GD,od002,1,1,1,1,1,11/8/2021,5,5,5.82,5,M,Person,1,office,spider,1,1,spider,,,,,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,5,7,8,6,12,1,1,Alexa,2,
AlexaEmbodiment_211108_04_GD,oa019,1,3,1,1,1,11/8/2021,5,5,7.32,7,M,VUI,1,office,spider,1,1,spider,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,3,3,5,8,8,7,12,1,1,Siri Homepod Mini,1,
AlexaEmbodiment_211109_05_GD,oc900,1,3,1,0,0,11/9/2021,5,5,3.01,3,M,VUI,1,office,spider,0,1,wheels->spider,because that's his favorite song,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0.5,0,Siri,0,
AlexaEmbodiment_211109_06_GD,oa044,1,1,1,1,1,11/9/2021,5,5,8.9,8,F,VUI,1,office,spider,1,1,spider,because he told that Paisia it was the itsy bitsy spider,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,9,7,13,0,0,NA,0,
AlexaEmbodiment_211110_07_GD,oc619,1,3,1,1,1,11/10/2021,3,5,4.07,4,M,Person,1,office,spider,1,1,wheels,don't know,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,2,2,4,2,4,2,4,1,1,Google Home,2,
AlexaEmbodiment_211110_08_GD,oc682,1,1,1,1,1,11/10/2021,5,5,5.07,5,F,VUI,1,office,spider,1,1,wheels,because it wants—it thinks he wants to play the wheels on the bus,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,3,3,6,8,9,7,11,1,1,Amazon Echo Kids and Sonos Sounbar,1,
AlexaEmbodiment_211110_09_GD,oc702,1,1,1,1,1,11/10/2021,5,5,4.94,4,F,VUI,1,office,spider,1,1,wheels,because its his favorite song,,,,1,1,0,0,1,1,1,1,1,1,1,0,0,2,2,5,5,7,5,9,1,1,Google,2,
AlexaEmbodiment_211111_10_GD,od014,1,3,1,1,1,11/11,3,5,5.07,5,F,Person,1,office,spider,1,1,spider,,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,3,3,6,6,9,7,9,1,0,Siri,0,
