child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
X3U2KL,AI,4,wheels,spider,spider,1,1,1,1,2.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,,1,1,1,1,0,m
KBQDD5,person,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,m
QdRUdL,person,4,wheels,spider,wheels,1,1,1,1,,coding class at school,About once a day,Less than once a week,About once a week,1,1,1,1,1,m
LFC354,person,4,wheels,spider,wheels,0,0,0,1,4.0,no experience with coding,Never,Less than once a week,Less than once a week,1,1,0,0,1,f
UK5MMG,person,1,spider,wheels,spider,1,1,1,0,3.0,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,
R27BW6,person,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,Several times a day,,,1,1,1,1,1,m
WGSZS6,person,4,wheels,spider,spider,1,1,1,0,3.0,no experience with coding,About once a week,About once a week,Less than once a week,1,1,1,1,0,m
VX7XXc,person,1,spider,wheels,spider,1,1,1,1,5.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1,m
NZKdcH,AI,4,wheels,spider,wheels,1,1,1,1,4.0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1,f
GFRFTR,person,3,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Never,Less than once a week,Never,1,1,1,1,1,f
EZ6FZQ,AI,4,wheels,spider,wheels,0,0,0,0,2.0,no experience with coding,Never,About once a day,About once a day,1,1,0,0,1,m
U32dEc,AI,1,spider,wheels,spider,1,1,1,1,3.0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Several times a day,About once a day,1,1,1,1,1,m
K6SSNX,person,3,twinkle,twinkle,wheels,0,0,0,0,2.0,no experience with coding,Never,Less than once a week,Never,0,0,0,0,0,f
5c3F4C,person,1,spider,wheels,spider,1,1,1,0,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,
ZQ3TTU,AI,1,spider,wheels,spider,1,1,1,1,,coding class at school,Several times a day,,About once a day,1,1,1,1,1,m
NMW7J7,person,1,spider,wheels,spider,1,1,1,1,1.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a week,About once a week,1,1,1,1,1,f
LN6TPF,person,2,wheels,spider,wheels,1,1,1,1,,,Several times a day,,,1,1,1,1,1,f
RF7BV6,AI,4,wheels,spider,wheels,1,0,1,0,5.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,f
USPAM2,person,2,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1,f
AEVA5R,AI,3,spider,wheels,spider,1,0,0,0,2.0,no experience with coding,About once a day,About once a week,,1,1,1,1,1,f
HMdQVZ,person,4,wheels,spider,wheels,1,1,1,0,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,,,1,1,1,1,1,m
VGYA6F,person,2,wheels,spider,wheels,1,1,1,0,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,
RBWAXG,AI,2,wheels,spider,wheels,1,1,1,1,3.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,About once a day,Never,1,1,1,1,1,f
WDETH6,person,4,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1,m
