"","child_id","child_age_rounded","child_gender"
"1","cMD6FQ",5220,"m"
"2","GXGSFD",5640,"f"
"3","SJQQ2J",5130,"f"
"4","5WN27N",5250,"f"
"5","P3EcYE",5130,"f"
"6","AVEH25",5460,"f"
"7","MLH6HJ",5610,"f"
"8","42LZDc",5280,"f"
"9","FFZF7X",5160,"f"
"10","LRCNHV",5700,"m"
"11","F5REDH",5520,"m"
"12","7GdZTX",5460,"m"
"13","D7cM6P",5790,"f"
"14","JE64ZK",5460,"m"
"15","2dBUQX",5310,"f"
"16","Yd7WPT",5250,"f"
"17","735EB3",5460,"f"
"18","cG6dWL",5430,"m"
"19","ENUBED",5130,"m"
"20","J4S4Nd",5310,"f"
"21","RQXQ37",5610,"f"
"22","TDYH5c",5250,"f"
"23","H5HUVK",5520,"f"
"24","A3HVZU",5490,"m"
"25","Q5ZTWH",5130,"m"
"26","CPLE3C",5220,"m"
"27","VdRXdD",1350,"f"
"28","DGH6Ld",1440,"f"
"29","KTLJTX",1140,"f"
"30","5A2Y2B",1170,"f"
"31","GRLVFF",1230,"m"
"32","4Lc7HB",1110,"m"
"33","5TDN53",1350,"f"
"34","F5QMEJ",1320,"m"
"35","KU6RG5",2460,"m"
"36","B5SScH",2520,"f"
"37","XFMJ2D",2400,"m"
"38","XNAGCD",2310,"f"
"39","CTDG73",2490,"m"
"40","GQYEcF",2340,"f"
"41","DTXJAD",2400,"m"
"42","5EPF77",2400,"f"
"43","RBWAXG",2370,"f"
"44","NA75A3",1320,"f"
"45","ZFASAN",1260,"m"
"46","UPcFPQ",1170,"f"
"47","3BJL75",1320,"m"
"48","L6BNGd",1440,"m"
"49","4dR3DM",1530,"f"
"50","FG3c3c",1590,"m"
"51","3NRZDA",1110,"f"
"52","cKNVRc",1770,"f"
"53","KTLJTX",1140,"f"
"54","QZ77BB",1500,"m"
"55","DEH3SW",1230,"f"
"56","CFZAdK",1230,"m"
"57","223QZT",1590,"f"
"58","C2PTE3",1380,"f"
"59","RTVEE7",1560,"m"
"60","XUYCHN",1170,"f"
"61","CFGJVV",1140,"f"
"62","6RYcKQ",1260,"f"
"63","NX5FLF",1110,"f"
"64","ZP3B3N",1110,"f"
"65","RJ5WYZ",1290,"f"
"66","A5ZcC2",1140,"m"
"67","LFC354",1110,"f"
"68","FdK67M",1200,"f"
"69","K6SSNX",1110,"f"
"70","QEQAZZ",1440,"f"
"71","E5EL7R",5520,"f"
"72","AVEH25",5280,"f"
"73","5CETCY",5520,"m"
"74","KdTKRC",5730,"m"
"75","XQc656",2490,"m"
"76","3QARD5",2250,"m"
"77","BAA7SE",2310,"f"
"78","DRTVFR",2190,"f"
"79","X3U2KL",3300,"m"
"80","ZdWJU6",1200,"f"
"81","DZEEEQ",1140,"m"
"82","cLWD7X",1260,"m"
"83","VVcSLZ",1170,"m"
"84","YQXHAZ",1260,"m"
"85","A5ZcC2",1110,"m"
"86","4SGNPS",3780,"m"
"87","77P6BR",3300,"f"
