"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"223QZT",1594,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Several times a day"
"226DPJ",3878,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,NA
"27NPYH",4877,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,NA
"2CKBJK",4059,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"About once a day"
"2D2Pd2",5202,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"2MNUcZ",5451,"f","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,6,"Several times a day"
"2N2GAd",3062,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"2RT5YX",3736,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,5,"Several times a day"
"2SXZZA",2385,"f","AI",1,"spider","wheels",1,1,"wheels",0,1,0,0,0,3,"Less than once a week"
"2UMdLC",4166,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a day"
"2ZBH3d",4034,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Less than once a week"
"2ZPdLJ",1494,"f","Person",3,"spider","wheels",1,1,"wheels",0,1,0,0,0,0,"Never"
"2cLdd2",2960,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,2,"About once a week"
"33NPWV",1390,"m","Person",2,"wheels","spider",1,1,"wheels",1,1,0,1,0,0,"Never"
"347dJH",1809,"f","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Never"
"36TYFV",4825,"f","AI",2,"wheels","spider",1,1,"spider",0,1,1,1,1,2,"About once a week"
"3ADQJK",1164,"m","Person",3,"spider","wheels",1,1,"spider",1,1,0,0,0,0,"Never"
"3BCE74",3745,"f","AI",3,"wheels","spider",0,0,"spider",1,0,0,0,0,NA,"Several times a day"
"3BJL75",1326,"m","AI",2,"wheels","spider",1,1,"wheels",1,1,0,0,0,0,"Never"
"3BMEHF",2135,"m","Person",3,"spider","wheels",1,1,"spider",1,1,0,0,0,3,"About once a week"
"3G522Y",2462,"f","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"3MGZ2D",1615,"f","AI",3,"twinkle","twinkle",0,0,"wheels",0,1,1,1,0,1,"Less than once a week"
"3NJBME",3351,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,NA
"3NRZDA",1123,"f","Person",4,"wheels","spider",1,1,"wheels",1,0,0,0,1,0,"Never"
"3STC7T",1485,"f","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"Never"
"3XcSJ2",3811,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,0,NA
"44WWDL",1880,"f","AI",1,"spider","wheels",1,1,"wheels",0,0,0,1,0,NA,NA
"46GXRG",4876,"m","AI",4,"wheels","spider",1,1,"spider",0,1,0,0,0,6,"About once a day"
"4ABCC4",1308,"f","AI",3,"wheels","twinkle",0,0,"spider",1,1,0,0,1,0,NA
"4BAHDN",3765,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a day"
"4HBDTF",3831,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,7,"Several times a day"
