"column","description"
"response__id","Short ID for this response"
"response__uuid","Unique identifier for response. Can be used to match data to video filenames."
"response__date_created","Timestamp for when participant began session, in format e.g. 2019-11-07 17:13:38.702958+00:00"
"response__completed","Whether the participant submitted the exit survey; depending on study criteria, this may not align with whether the session is considered complete. E.g., participant may have left early but submitted exit survey, or may have completed all test trials but not exit survey."
"response__withdrawn","Whether the participant withdrew permission for viewing/use of study video beyond consent video. If true, video will not be available and must not be used."
"response__eligibility","List of eligibility codes (defined in Lookit docs), separated by spaces. Can be either 'Eligible' or one or more of: 'Ineligible_TooYoung'/'Ineligible_TooOld', 'Ineligible_CriteriaExpression', 'Ineligible_Participation'."
"response__parent_feedback","Freeform parent feedback entered into the exit survey, if any. This field may incidentally contain identifying or sensitive information depending on what parents say, so it should be scrubbed or omitted from published data."
"response__birthdate_difference","Difference between birthdate entered in exit survey, if any, and birthdate of registered child participating. Positive values mean that the birthdate from the exit survey is LATER. Blank if no birthdate available from the exit survey."
"response__video_privacy","Privacy level for videos selected during the exit survey, if the parent completed the exit survey. Possible levels are 'private' (only people listed on your IRB protocol can view), 'scientific' (can share for scientific/educational purposes), and 'public' (can also share for publicity). In no cases may videos be shared for commercial purposes. If this is missing (e.g., family stopped just after the consent form and did not complete the exit survey), you must treat the video as private."
"response__databrary","Whether the parent agreed to share video data on Databrary - 'yes' or 'no'. If missing, you must treat the video as if 'no' were selected. If 'yes', the video privacy selections also apply to authorized Databrary users."
"response__is_preview","Whether this response was generated by a researcher previewing the experiment. Preview data should not be used in any actual analyses."
"consent__ruling","Most recent consent video ruling: one of 'accepted' (consent has been reviewed and judged to indidate informed consent), 'rejected' (consent has been reviewed and judged not to indicate informed consent -- e.g., video missing or parent did not read statement), or 'pending' (no current judgement, e.g. has not been reviewed yet or waiting on parent email response')"
"consent__arbiter","Name associated with researcher account that made the most recent consent ruling"
"consent__time","Timestamp of most recent consent ruling, format e.g. 2019-12-09 20:40"
"consent__comment","Comment associated with most recent consent ruling (may be used to track e.g. any cases where consent was confirmed by email)"
"study__uuid","Unique identifier of study associated with this response. Same for all responses to a given Lookit study."
"participant__hashed_id","Identifier for family account associated with this response. Will be the same for multiple responses from a child and for siblings, but is unique to this study. This may be published directly."
"child__global_id","Primary unique identifier for the child associated with this response. Will be the same for multiple responses from one child, even across different Lookit studies. MUST BE REDACTED FOR PUBLICATION because this allows identification of children across different published studies, which may have unintended privacy consequences. Researchers can use this ID to match participants across studies (subject to their own IRB review), but would need to generate their own random participant IDs for publication in that case. Use child_hashed_id as a publication-safe alternative if only analyzing data from one Lookit study."
"child__hashed_id","Identifier for child associated with this response. Will be the same for multiple responses from a child, but is unique to this study. This may be published directly."
"child__name","Nickname for the child associated with this response. Not necessarily a real name (we encourage initials, nicknames, etc. if parents aren't comfortable providing a name) but must be redacted for publication of data."
"child__birthday","Birthdate of child associated with this response. Must be redacted for publication of data (switch to age at time of participation; either use rounded age, jitter the age, or redact timestamps of participation)."
"child__age_in_days","Age in days at time of response of child associated with this response, exact. This can be used in conjunction with timestamps to calculate the child's birthdate, so must be jittered or redacted prior to publication unless no timestamp information is shared."
"child__gender","Parent-identified gender of child, one of 'm' (male), 'f' (female), 'o' (other), or 'na' (prefer not to answer)"
"child__language_list","List of languages spoken (using language codes in Lookit docs), separated by spaces"
"child__condition_list","List of child characteristics (using condition/characteristic codes in Lookit docs), separated by spaces"
"child__additional_information","Free response 'anything else you'd like us to know' field on child registration form for child associated with this response. Should be redacted or reviewed prior to publication as it may include names or other identifying information."
"response__sequence","Each response_sequence.N field (response_sequence.0, response_sequence.1, etc.) gives the ID of the Nth frame displayed during the session associated with this response. Responses may have different sequences due to randomization or if a participant leaves early."
"response__conditions","RESEARCHERS: EXPAND THIS SECTION BASED ON YOUR INDIVIDUAL STUDY. Each set of response_conditions.N.(...) fields give information about condition assignment during a particular frame of this study. response_conditions.0.frameName is the frame ID (corresponding to a value in response_sequence) where the randomization occurred. Additional fields such as response_conditions.0.conditionNum depend on the specific randomizer frames used in this study."
"response__researcher_payment_status","Researcher-assigned payment status"
"response__researcher_session_status","Researcher-assigned session status"
"response__is_tallied","Whether this response is counted as tallied"
"response__is_tallied_researcher_override","Whether this response tallied/not tallied status was overridden by a researcher"
"response__researcher_star","Researcher-assigned star"
