"redcap","age","floor_age","gender","condition","counterbalance","pass_attn1","pass_attn2","test","chose_song_1","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","multiSSexperience"
"oc745",6,6,"F","AI",1,1,1,"wheels",0,1,1,1,1,"0",FALSE
"oc726",4.81,4,"F","AI",1,1,1,"spider",1,1,0,1,0.666666666666667,"0",FALSE
"od002",5.82,5,"M","Person",1,1,1,"spider",1,1,0,1,0.666666666666667,"2",TRUE
"oa019",7.32,7,"M","AI",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"oa044",8.9,8,"F","AI",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"oc619",4.07,4,"M","Person",1,1,1,"wheels",0,1,0,1,0.666666666666667,"2",TRUE
"oc682",5.07,5,"F","AI",1,1,1,"wheels",0,1,1,1,1,"1",FALSE
"oc702",4.94,4,"F","AI",1,1,1,"wheels",0,1,0,1,0.666666666666667,"2",TRUE
"od014",5.07,5,"F","Person",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"ob141",5.11,5,"F","Person",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"oc492",4.74,4,"M","Person",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"oc852",4.09,4,"M","Person",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"oc710",4.96,4,"M","Person",1,1,1,"wheels",0,1,0,0,0.333333333333333,"0",FALSE
"oc665",4,4,"M","AI",1,1,1,"spider",1,1,0,1,0.666666666666667,"0",FALSE
"ob164",8.51,8,"M","Person",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"ob009",5.42,5,"F","AI",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"ob091",7.84,7,"F","Person",1,1,1,"wheels",0,1,1,1,1,"3",TRUE
"ob010",7.82,7,"F","AI",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"oc730",3.93,3,"F","AI",1,1,1,"wheels",0,0,0,0,0,"1",FALSE
"oc340",5.01,5,"F","AI",1,1,1,"spider",1,0,0,0,0,"2",TRUE
"oc800",5.01,5,"M","AI",1,1,1,"spider",1,0,1,0,0.333333333333333,"1",FALSE
"oc715",4.87,4,"M","AI",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"ob189",7.79,7,"F","Person",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"ob007",6.45,6,"F","Person",1,1,1,"spider",1,1,1,1,1,"5",TRUE
"ob491",5.55,5,"F","Person",1,1,1,"spider",1,1,1,1,1,"2",TRUE
"oc676",4.96,4,"M","Person",4,1,1,"wheels",1,1,1,1,1,"2",TRUE
"oc514",4.13,4,"F","Person",4,1,1,"spider",0,1,0,0,0.333333333333333,"0",FALSE
"od090",3.97,3,"M","Person",1,1,1,"spider",1,1,0,0,0.333333333333333,"5",TRUE
"ob029",6.48,6,"F","AI",4,1,1,"wheels",1,1,1,1,1,"2",TRUE
"oc640",5.98,5,"F","AI",4,1,1,"spider",0,0,0,1,0.333333333333333,"1",FALSE
"ob255",5.81,5,"M","Person",2,1,1,"wheels",1,1,1,1,1,"4",TRUE
"oc555",5.72,5,"M","AI",3,1,1,"spider",1,1,0,1,0.666666666666667,"0",FALSE
"oc311",5,5,"M","Person",3,1,1,"wheels",0,1,1,0,0.666666666666667,"0",FALSE
"od047",5.65,5,"M","Person",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"oc228",3.07,3,"prefer not to answer","AI",2,1,1,"spider",0,0,0,0,0,"0",FALSE
"ob191",6.41,6,"M","AI",2,1,1,"wheels",1,1,1,1,1,"2",TRUE
"ob203",5.82,5,"non-binary","AI",3,1,1,"wheels",0,1,1,1,1,"1",FALSE
"ob588",4.08,4,"F","Person",3,1,1,"wheels",0,0,0,0,0,"1",FALSE
"ob325",4.66,4,"F","AI",1,1,1,"spider",1,1,1,1,1,"0",FALSE
"ob115",5.91,5,"M","AI",2,1,1,"wheels",1,1,1,1,1,"1",FALSE
"ob171",6.33,6,"F","AI",1,1,1,"spider",1,1,1,1,1,"1",FALSE
"ob117",6.62,6,"M","AI",3,1,1,"spider",1,1,1,1,1,"3",TRUE
"ob276",7.08,7,"M","AI",2,1,1,"spider",0,1,1,1,1,"2",TRUE
"oa064",6.58,6,"F","Person",3,1,1,"spider",1,1,1,1,1,"3",TRUE
"oc412",4.92,4,"F","AI",2,1,1,"wheels",1,1,1,1,1,"0",FALSE
"ob212",6.89,6,"F","Person",2,1,1,"wheels",1,0,1,1,0.666666666666667,"1",FALSE
"oc296",6.09,6,"F","Person",4,1,1,"wheels",1,1,1,1,1,"0",FALSE
"oc431",8.09,8,"F","AI",4,1,1,"wheels",1,1,1,1,1,"7",TRUE
