"child_id","child_gender","child_age_rounded","age_days","age","condition","counterbalance","attn1","attn2","test","attn3","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","coding_experience","smartphone_frequency","smart_speaker_frequency","voice_assistant_frequency","pass_attn1","pass_attn2","pass_attn3","pass_all_attn","chose_song_1","age_months","floor_age","va_daily","ss_daily","multiSSexperience"
"223QZT","f",1590,1594,4.36413415468857,"Person",1,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","About once a day","Several times a day","About once a day",1,1,1,1,1,52.4049051517244,4,TRUE,TRUE,FALSE
"226DPJ","m",3870,3878,10.6173853524983,"AI",2,"wheels","spider","wheels",1,1,1,1,1,1,"no experience with coding","Several times a day",NA,"About once a day",1,1,1,1,1,127.494493211033,10,TRUE,NA,FALSE
"27NPYH","f",4890,4875,13.347022587269,"Person",3,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","Several times a day",NA,"Several times a day",1,1,1,1,1,160.272216194891,13,TRUE,NA,FALSE
"2CKBJK","m",4050,4059,11.1129363449692,"Person",2,"wheels","spider","wheels",1,1,1,1,1,NA,NA,"About once a week","About once a day",NA,1,1,1,1,1,133.445112930269,11,NA,TRUE,NA
"RKKSJM","f",3030,2960,8.10403832991102,"Person",3,"spider","wheels","spider",1,1,1,1,1,2,"no experience with coding","About once a day","About once a week","About once a day",1,1,1,1,1,97.3140020383338,8,TRUE,FALSE,TRUE
"2cLdd2","f",3180,2960,8.10403832991102,"Person",3,"spider","wheels","spider",1,0,0,1,0.333333333333333,NA,NA,"About once a day",NA,"About once a day",1,1,1,1,1,97.3140020383338,8,TRUE,NA,NA
"2D2Pd2","f",5190,5202,14.2422997946612,"Person",1,"spider","wheels","spider",1,1,1,1,1,NA,NA,"Several times a day",NA,"About once a week",1,1,1,1,1,171.022783311964,14,FALSE,NA,NA
"2HPcJ3","m",4980,4984,13.6454483230664,"Person",3,"spider","wheels","spider",1,1,1,1,1,NA,NA,"Several times a day",NA,NA,1,1,1,1,1,163.855738567249,13,NA,NA,NA
"2MNUcZ","f",5460,5451,14.9240246406571,"AI",2,"wheels","spider","spider",1,1,1,1,1,6,"coding class at school","Several times a day","Several times a day","Several times a day",1,1,1,1,0,179.208994969918,14,TRUE,TRUE,TRUE
"2N2GAd","f",3060,3062,8.3832991101985,"AI",3,"spider","wheels","spider",1,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a week","About once a week","About once a week",1,1,1,1,1,100.667389946412,8,FALSE,FALSE,FALSE
